7.7589,0.62468,11
1.1783,0.62669,8
7.7445,0.62458,11
7.7029,0.62573,11
7.7256,0.62354,11
7.7032,0.62281,11
2.1959,0.62378,9
7.6893,0.62517,11
7.7051,0.62563,11
4.1462,0.62109,10
7.7194,0.62355,11
7.7112,0.62349,11
4.1022,0.62836,10
7.7051,0.62394,11
7.7148,0.62249,11
7.7509,0.62408,11
4.1295,0.6239,10
4.0903,0.32899,4
7.7086,0.62451,11
4.0804,0.32985,4
7.6504,0.62306,11
7.6889,0.62775,11
7.726,0.33487,5
7.6793,0.33123,5
7.6807,0.62729,11
4.0846,0.62549,10
7.7056,0.62317,11
7.73,0.62372,11
2.204,0.33339,3
2.203,0.62436,9
7.738,0.62623,11
7.7188,0.62725,11
7.7205,0.62364,11
7.6737,0.62366,11
7.6986,0.62328,11
7.7219,0.62804,11
4.1391,0.62335,10
4.1219,0.62361,10
7.6781,0.3353,5
2.2069,0.62757,9
7.6941,0.33287,5
7.6788,0.32872,5
7.6859,0.62369,11
7.7351,0.6245,11
4.14,0.62511,10
7.7227,0.62325,11
7.6998,0.33236,5
7.7332,0.62501,11
7.7175,0.62316,11
4.1068,0.33357,4
7.7419,0.62649,11
7.6734,0.62554,11
7.6835,0.62399,11
7.6542,0.33177,5
2.1903,0.6231,9
7.7605,0.6224,11
7.7099,0.62424,11
7.7138,0.62554,11
7.708,0.6233,11
7.6722,0.62401,11
7.7198,0.33452,5
7.6676,0.62508,11
7.7023,0.62368,11
7.704,0.62192,11
7.7038,0.62385,11
7.6766,0.62284,11
4.0956,0.62234,10
4.099,0.62419,10
7.7057,0.62324,11
7.7085,0.62518,11
4.119,0.62427,10
7.7071,0.33383,5
7.7207,0.62545,11
7.7221,0.33362,5
4.1228,0.62337,10
7.6848,0.62243,11
7.7767,0.33245,5
7.7175,0.62361,11
7.7045,0.62395,11
4.1326,0.33137,4
7.7379,0.62693,11
2.1658,0.62604,9
7.7112,0.62565,11
4.1162,0.62503,10
7.7122,0.62487,11
7.714,0.33134,5
7.6881,0.33331,5
7.7222,0.62134,11
7.7611,0.62382,11
4.0939,0.33341,4
7.7064,0.62269,11
7.6505,0.62037,11
7.7142,0.62394,11
0.33391,0.62305,6
2.1972,0.62596,9
7.7139,0.62249,11
7.763,0.62305,11
4.104,0.33324,4
4.0951,0.62404,10
4.1246,0.3309,4
